t,,,8.73591334,0.097065704,0.970657038,,,,,2.183978335,2.911971113,,,2.911971113,,,2.183978335
R0 ,,,,,,,,,,,,,,17.1705,,,22.894
tiempo,infectados,Umbrales,"SI 0,01","SI 0,9","SI  ?=0,09","SI 0,08","SI 0,10","SI 0,05","SI 0,4","SI  ?=0,04","SI  ?=0,03","SIR ?=0,03   µ=0,05","SIR ?=0,03   µ=0,01","SIR ?=0,03   µ=0,02","SIR ?=0,03   µ=0,03","SIR ?=0,04   µ=0,01","SIR ?=0,04   µ=0,02"
,,,3163,,,,,,,,,,209,,,,
,,,3164,,,,,,,,,,207,,,,
,,,3166,,,,,,,,,,205,,,,
,,,3167,,,,,,,,,,203,,,,
,,,3168,,,,,,,,,,202,,,,
,,,3169,,,,,,,,,,202,,,,
,,,3169,,,,,,,,,,201,,,,
,,,3171,,,,,,,,,,198,,,,
,,,3173,,,,,,,,,,196,,,,
,,,3173,,,,,,,,,,194,,,,
,,,3175,,,,,,,,,,194,,,,
,,,3177,,,,,,,,,,193,,,,
,,,3178,,,,,,,,,,193,,,,
,,,3178,,,,,,,,,,192,,,,
,,,3178,,,,,,,,,,191,,,,
,,,3178,,,,,,,,,,188,,,,
,,,,,,,,,,,,,185,,,,
,,,,,,,,,,,,,184,,,,
,,,,,,,,,,,,,184,,,,
,,,,,,,,,,,,,182,,,,
,,,,,,,,,,,,,179,,,,
,,,,,,,,,,,,,178,,,,
,,,,,,,,,,,,,178,,,,
,,,,,,,,,,,,,178,,,,
,,,,,,,,,,,,,178,,,,
