AIRLINE;AIRLINE ID;Source airport;Source;"Destination airport	";Target;Codeshare;Stops;Equipment;
3M;20710;TPA;1793;EYW;1915;;0;SF3;
3M;20710;TPA;1793;FLL;1739;;0;SF3;
3M;20710;TPA;1793;GNV;1716;;0;SF3;
3M;20710;TPA;1793;JAX;1830;;0;SF3;
3M;20710;TPA;1793;PBI;1838;;0;SF3;
3M;20710;TPA;1793;PNS;1752;;0;SF3;
3M;20710;TPA;1793;TLH;1822;;0;SF3;
3M;20710;TUP;2476;ATL;1812;;0;SF3 ;
3M;20710;TUP;2476;GLH;2664;;0;SF3;
3O;9818;AMS;282;NDR;2402;;0;320;
3O;9818;AMS;282;TNG;497;;0;320;
3O;9818;BCN;570;CMN;492;;0;320;
3O;9818;BCN;570;NDR;2402;;0;320;
3O;9818;BCN;570;TNG;497;;0;320;
3O;9818;BGY;692;CMN;492;;0;320;
3O;9818;BLQ;699;CMN;492;;0;320;
3O;9818;BRU;184;CMN;492;;0;320;
3O;9818;BRU;184;NDR;2402;;0;320;
3O;9818;BRU;184;TNG;497;;0;320;
3O;9818;CGN;194;NDR;2402;;0;320;
